"time"	"time"	"antispace"
0	0	1
10	10	0.9900498337
20	20	0.9801986733
30	30	0.9704455335
40	40	0.9607894392
50	50	0.9512294245
60	60	0.9417645336
70	70	0.9323938199
80	80	0.9231163464
90	90	0.9139311853
100	100	0.904837418
110	110	0.8958341353
120	120	0.8869204367
130	130	0.8780954309
140	140	0.8693582354
150	150	0.8607079764
160	160	0.852143789
170	170	0.8436648166
180	180	0.8352702114
190	190	0.8269591339
200	200	0.8187307531
210	210	0.810584246
220	220	0.802518798
230	230	0.7945336025
240	240	0.7866278611
250	250	0.7788007831
260	260	0.7710515858
270	270	0.7633794943
280	280	0.7557837415
290	290	0.7482635676
300	300	0.7408182207
310	310	0.7334469562
320	320	0.7261490371
330	330	0.7189237334
340	340	0.7117703228
350	350	0.7046880897
360	360	0.6976763261
370	370	0.6907343306
380	380	0.6838614092
390	390	0.6770568745
400	400	0.670320046
410	410	0.6636502501
420	420	0.6570468198
430	430	0.6505090947
440	440	0.6440364211
450	450	0.6376281516
460	460	0.6312836455
470	470	0.6250022683
480	480	0.6187833918
490	490	0.6126263942
500	500	0.6065306597
510	510	0.6004955788
520	520	0.594520548
530	530	0.5886049697
540	540	0.5827482524
550	550	0.5769498104
560	560	0.5712090638
570	570	0.5655254387
580	580	0.5598983666
590	590	0.5543272847
600	600	0.5488116361
610	610	0.5433508691
620	620	0.5379444376
630	630	0.532591801
640	640	0.527292424
650	650	0.5220457768
660	660	0.5168513345
670	670	0.5117085778
680	680	0.5066169924
690	690	0.5015760691
700	700	0.4965853038
710	710	0.4916441975
720	720	0.486752256
730	730	0.4819089901
740	740	0.4771139155
750	750	0.4723665527
760	760	0.467666427
770	770	0.4630130683
780	780	0.4584060113
790	790	0.4538447953
800	800	0.4493289641
810	810	0.4448580662
820	820	0.4404316545
830	830	0.4360492863
840	840	0.4317105234
850	850	0.4274149319
860	860	0.4231620823
870	870	0.4189515492
880	880	0.4147829117
890	890	0.4106557528
900	900	0.4065696597
910	910	0.402524224
920	920	0.3985190411
930	930	0.3945537104
940	940	0.3906278354
950	950	0.3867410235
960	960	0.382892886
970	970	0.3790830381
980	980	0.3753110989
990	990	0.371576691
1000	1000	0.3678794412
1010	1010	0.3642189796
1020	1020	0.3605949402
1030	1030	0.3570069606
1040	1040	0.353454682
1050	1050	0.3499377491
1060	1060	0.3464558103
1070	1070	0.3430085174
1080	1080	0.3395955256
1090	1090	0.3362164937
1100	1100	0.3328710837
1110	1110	0.3295589611
1120	1120	0.3262797946
1130	1130	0.3230332564
1140	1140	0.3198190218
1150	1150	0.3166367694
1160	1160	0.3134861809
1170	1170	0.3103669413
1180	1180	0.3072787386
1190	1190	0.3042212641
1200	1200	0.3011942119
1210	1210	0.2981972794
1220	1220	0.2952301669
1230	1230	0.2922925777
1240	1240	0.2893842179
1250	1250	0.2865047969
1260	1260	0.2836540265
1270	1270	0.2808316218
1280	1280	0.2780373005
1290	1290	0.2752707831
1300	1300	0.272531793
1310	1310	0.2698200564
1320	1320	0.267135302
1330	1330	0.2644772613
1340	1340	0.2618456686
1350	1350	0.2592402606
1360	1360	0.256660777
1370	1370	0.2541069596
1380	1380	0.2515785531
1390	1390	0.2490753046
1400	1400	0.2465969639
1410	1410	0.2441432832
1420	1420	0.2417140169
1430	1430	0.2393089222
1440	1440	0.2369277587
1450	1450	0.2345702881
1460	1460	0.2322362747
1470	1470	0.2299254852
1480	1480	0.2276376884
1490	1490	0.2253726555
1500	1500	0.2231301601
1510	1510	0.220909978
1520	1520	0.218711887
1530	1530	0.2165356673
1540	1540	0.2143811014
1550	1550	0.2122479738
1560	1560	0.2101360712
1570	1570	0.2080451824
1580	1580	0.2059750982
1590	1590	0.2039256117
1600	1600	0.201896518
1610	1610	0.1998876141
1620	1620	0.1978986991
1630	1630	0.1959295741
1640	1640	0.1939800423
1650	1650	0.1920499086
1660	1660	0.1901389801
1670	1670	0.1882470656
1680	1680	0.186373976
1690	1690	0.184519524
1700	1700	0.1826835241
1710	1710	0.1808657926
1720	1720	0.1790661479
1730	1730	0.17728441
1740	1740	0.1755204006
1750	1750	0.1737739435
1760	1760	0.1720448638
1770	1770	0.1703329888
1780	1780	0.1686381473
1790	1790	0.1669601697
1800	1800	0.1652988882
1810	1810	0.1636541368
1820	1820	0.1620257509
1830	1830	0.1604135678
1840	1840	0.1588174261
1850	1850	0.1572371663
1860	1860	0.1556726304
1870	1870	0.1541236618
1880	1880	0.1525901058
1890	1890	0.1510718088
1900	1900	0.1495686192
1910	1910	0.1480803866
1920	1920	0.1466069621
1930	1930	0.1451481985
1940	1940	0.1437039498
1950	1950	0.1422740716
1960	1960	0.1408584209
1970	1970	0.1394568562
1980	1980	0.1380692373
1990	1990	0.1366954254
2000	2000	0.1353352832
2010	2010	0.1339886747
2020	2020	0.1326554651
2030	2030	0.1313355211
2040	2040	0.1300287109
2050	2050	0.1287349036
2060	2060	0.1274539699
2070	2070	0.1261857817
2080	2080	0.1249302122
2090	2090	0.1236871358
2100	2100	0.1224564283
2110	2110	0.1212379664
2120	2120	0.1200316285
2130	2130	0.1188372939
2140	2140	0.117654843
2150	2150	0.1164841578
2160	2160	0.115325121
2170	2170	0.1141776169
2180	2180	0.1130415306
2190	2190	0.1119167486
2200	2200	0.1108031584
2210	2210	0.1097006485
2220	2220	0.1086091088
2230	2230	0.1075284301
2240	2240	0.1064585044
2250	2250	0.1053992246
2260	2260	0.1043504848
2270	2270	0.1033121801
2280	2280	0.1022842067
2290	2290	0.1012664619
2300	2300	0.1002588437
2310	2310	0.09926125156
2320	2320	0.0982735856
2330	2330	0.09729574709
2340	2340	0.09632763823
2350	2350	0.09536916222
2360	2360	0.0944202232
2370	2370	0.09348072628
2380	2380	0.09255057751
2390	2390	0.09162968388
2400	2400	0.09071795329
2410	2410	0.08981529457
2420	2420	0.08892161746
2430	2430	0.08803683258
2440	2440	0.08716085146
2450	2450	0.0862935865
2460	2460	0.08543495097
2470	2470	0.084584859
2480	2480	0.08374322559
2490	2490	0.08290996658
2500	2500	0.08208499862
2510	2510	0.08126823924
2520	2520	0.08045960675
2530	2530	0.07965902029
2540	2540	0.07886639979
2550	2550	0.078081666
2560	2560	0.07730474044
2570	2570	0.07653554542
2580	2580	0.07577400402
2590	2590	0.07502004009
2600	2600	0.07427357821
2610	2610	0.07353454376
2620	2620	0.07280286283
2630	2630	0.07207846224
2640	2640	0.07136126956
2650	2650	0.07065121306
2660	2660	0.06994822174
2670	2670	0.06925222531
2680	2680	0.06856315415
2690	2690	0.06788093937
2700	2700	0.06720551274
2710	2710	0.06653680672
2720	2720	0.06587475443
2730	2730	0.06521928967
2740	2740	0.06457034689
2750	2750	0.06392786121
2760	2760	0.06329176836
2770	2770	0.06266200474
2780	2780	0.06203850738
2790	2790	0.06142121392
2800	2800	0.06081006263
2810	2810	0.06020499239
2820	2820	0.05960594271
2830	2830	0.05901285367
2840	2840	0.05842566596
2850	2850	0.05784432087
2860	2860	0.05726876027
2870	2870	0.05669892658
2880	2880	0.05613476283
2890	2890	0.05557621261
2900	2900	0.05502322006
2910	2910	0.05447572987
2920	2920	0.0539336873
2930	2930	0.05339703815
2940	2940	0.05286572874
2950	2950	0.05233970595
2960	2960	0.05181891717
2970	2970	0.05130331033
2980	2980	0.05079283386
2990	2990	0.05028743672
3000	3000	0.04978706837
3010	3010	0.04929167876
3020	3020	0.04880121836
3030	3030	0.04831563813
3040	3040	0.04783488949
3050	3050	0.04735892439
3060	3060	0.04688769522
3070	3070	0.04642115486
3080	3080	0.04595925665
3090	3090	0.0455019544
3100	3100	0.04504920239
3110	3110	0.04460095534
3120	3120	0.04415716842
3130	3130	0.04371779725
3140	3140	0.0432827979
3150	3150	0.04285212687
